indice_tiempo,asalariados_pub_sin_estac,asalariados_priv_sin_estac,asalariados_casas_particulares_sin_estac,independientes_autonomos_sin_estac,independientes_monotributo_sin_estac,independientes_monotributo_social_sin_estac
2012-01-01,2548.451,6068.893,389.467,407.60900000000004,1314.711,167.762
2012-02-01,2607.167,6066.771,390.92,409.26800000000003,1314.5320000000002,168.91299999999998
2012-03-01,2620.134,6072.519,390.49300000000005,407.73699999999997,1314.626,170.047
2012-04-01,2623.2509999999997,6054.762,391.661,408.115,1317.796,172.512
2012-05-01,2595.959,6065.198,393.21,408.34,1321.8410000000001,172.926
2012-06-01,2631.8979999999997,6064.642,394.94300000000004,408.597,1332.556,174.563
2012-07-01,2628.9309999999996,6063.093000000001,395.48,408.50699999999995,1342.079,178.13400000000001
2012-08-01,2637.6690000000003,6059.182,397.00800000000004,408.593,1346.925,179.842
2012-09-01,2633.673,6059.235,398.584,408.209,1352.378,182.364
2012-10-01,2642.6090000000004,6062.905,399.832,408.58,1360.1889999999999,183.25400000000002
2012-11-01,2659.2909999999997,6068.993,401.225,409.06699999999995,1365.476,184.774
2012-12-01,2662.123,6091.5380000000005,402.92800000000005,409.483,1364.714,186.953
2013-01-01,2712.784,6090.935,407.81699999999995,410.73199999999997,1370.088,187.364
2013-02-01,2717.4840000000004,6097.525,409.525,420.339,1370.2479999999998,188.774
2013-03-01,2723.02,6106.5109999999995,409.18199999999996,422.684,1376.771,190.372
2013-04-01,2743.938,6114.945,410.246,423.631,1384.0220000000002,192.11
2013-05-01,2809.288,6108.008000000001,418.173,423.973,1393.872,193.743
2013-06-01,2797.955,6103.169,433.714,424.505,1402.481,196.46900000000002
2013-07-01,2811.349,6108.946999999999,439.689,425.87800000000004,1411.92,203.75099999999998
2013-08-01,2813.797,6124.445,440.69800000000004,427.796,1424.168,242.333
2013-09-01,2820.695,6115.081,443.339,429.12300000000005,1437.754,274.123
2013-10-01,2837.9559999999997,6117.023,446.126,428.76800000000003,1454.92,285.02099999999996
2013-11-01,2841.4990000000003,6126.964,449.97,426.721,1461.0729999999999,289.861
2013-12-01,2856.684,6123.9259999999995,452.228,424.31800000000004,1461.135,293.069
2014-01-01,2854.909,6115.776999999999,454.603,423.345,1462.6989999999998,294.183
2014-02-01,2862.097,6109.396,455.74300000000005,420.915,1463.739,297.153
2014-03-01,2812.6409999999996,6091.344,455.00800000000004,423.94300000000004,1462.85,300.505
2014-04-01,2873.2909999999997,6094.754,453.972,423.78,1466.967,304.115
2014-05-01,2882.625,6103.319,456.853,420.901,1473.1270000000002,306.66
2014-06-01,2892.3320000000003,6108.964,459.596,417.296,1479.749,310.057
2014-07-01,2902.468,6111.210999999999,460.41900000000004,415.532,1480.131,313.79
2014-08-01,2907.7859999999996,6110.688,459.976,413.44800000000004,1480.849,315.998
2014-09-01,2926.2270000000003,6119.103,460.267,410.593,1484.559,321.651
2014-10-01,2929.85,6127.758000000001,460.783,408.30800000000005,1484.514,329.106
2014-11-01,2946.7490000000003,6136.340999999999,460.19699999999995,407.12699999999995,1474.006,333.73
2014-12-01,2943.778,6142.797,448.524,406.875,1452.9720000000002,337.971
2015-01-01,2955.022,6164.826999999999,440.42,406.621,1439.6529999999998,341.952
2015-02-01,2964.969,6178.334,439.95099999999996,412.224,1429.638,346.535
2015-03-01,2973.651,6189.369000000001,442.17199999999997,411.176,1432.931,348.214
2015-04-01,2987.527,6223.525,441.719,411.80800000000005,1433.379,349.42800000000005
2015-05-01,3001.9159999999997,6228.268,441.85900000000004,411.647,1439.336,351.245
2015-06-01,3015.51,6245.42,441.575,411.62300000000005,1451.9229999999998,354.31699999999995
2015-07-01,3056.98,6251.146,441.785,411.14,1454.479,354.94
2015-08-01,3067.091,6266.382,442.58,409.58,1455.487,355.18699999999995
2015-09-01,3069.575,6259.488,443.277,410.337,1457.8139999999999,355.755
2015-10-01,3084.325,6264.13,444.218,409.00699999999995,1455.253,355.13
2015-11-01,3095.785,6253.5419999999995,445.278,408.24,1453.259,354.64300000000003
2015-12-01,3089.478,6224.144,445.605,407.175,1446.308,352.94699999999995
2016-01-01,3080.3940000000002,6211.069,444.87800000000004,407.212,1443.829,355.03
2016-02-01,3087.7909999999997,6212.996999999999,446.439,408.624,1440.19,355.70599999999996
2016-03-01,3100.888,6200.654,448.31,409.25300000000004,1441.639,356.967
2016-04-01,3101.3990000000003,6188.564,451.059,409.265,1448.036,357.671
2016-05-01,3101.4190000000003,6178.681,452.48400000000004,416.865,1455.6860000000001,357.579
2016-06-01,3109.441,6168.706,454.065,419.091,1472.388,358.722
2016-07-01,3113.4770000000003,6167.552,454.13300000000004,417.11699999999996,1474.76,360.713
2016-08-01,3116.19,6167.639,454.611,416.461,1478.183,363.279
2016-09-01,3116.2929999999997,6170.8330000000005,455.44699999999995,415.199,1484.971,367.538
2016-10-01,3112.823,6180.053000000001,456.351,414.597,1489.7579999999998,376.064
2016-11-01,3119.518,6184.116999999999,457.6,414.219,1490.911,382.455
2016-12-01,3121.325,6188.985,459.684,412.375,1490.71,381.977
2017-01-01,3121.783,6196.513000000001,459.926,408.20099999999996,1507.9489999999998,380.582
2017-02-01,3122.1890000000003,6193.047,461.31800000000004,405.175,1522.655,380.45599999999996
2017-03-01,3125.765,6204.427,462.32099999999997,402.782,1519.37,387.69699999999995
2017-04-01,3129.941,6199.061,463.205,398.936,1520.005,388.414
2017-05-01,3139.07,6210.464,465.626,399.599,1533.33,387.81300000000005
2017-06-01,3141.821,6223.766,465.577,399.23699999999997,1540.106,393.75800000000004
2017-07-01,3147.845,6231.724,467.139,399.087,1550.805,399.97900000000004
2017-08-01,3151.428,6232.32,467.04,399.57800000000003,1570.5710000000001,399.664
2017-09-01,3159.107,6243.284000000001,469.775,399.67800000000005,1582.271,409.836
2017-10-01,3156.094,6255.755,471.57,402.69,1599.3339999999998,408.57
2017-11-01,3161.9320000000002,6267.561,473.673,403.416,1598.816,412.51800000000003
2017-12-01,3165.735,6285.661,475.355,404.17199999999997,1593.8970000000002,419.267
2018-01-01,3175.866,6279.268,477.663,403.298,1595.67,418.95
2018-02-01,3159.518,6276.273,479.19800000000004,402.78,1594.605,423.45
2018-03-01,3163.913,6283.713000000001,481.67400000000004,402.379,1593.8029999999999,422.92199999999997
