indice_tiempo,asalariados_priv_sin_estac_buenos_aires,asalariados_priv_sin_estac_caba
2009-01-01,1750.26,1470.563
2009-02-01,1743.412,1467.866
2009-03-01,1739.173,1461.569
2009-04-01,1737.545,1458.129
2009-05-01,1737.247,1455.705
2009-06-01,1738.294,1454.65
2009-07-01,1742.008,1453.915
2009-08-01,1739.944,1452.829
2009-09-01,1741.966,1453.69
2009-10-01,1748.853,1454.311
2009-11-01,1748.867,1455.56
2009-12-01,1754.115,1457.856
2010-01-01,1751.453,1461.441
2010-02-01,1757.048,1463.856
2010-03-01,1766.951,1467.886
2010-04-01,1774.13,1470.858
2010-05-01,1781.63,1473.87
2010-06-01,1787.904,1477.909
2010-07-01,1793.447,1480.804
2010-08-01,1802.603,1484.01
2010-09-01,1808.026,1491.4
2010-10-01,1813.341,1494.975
2010-11-01,1814.745,1499.16
2010-12-01,1831.123,1503.112
2011-01-01,1839.159,1504.809
2011-02-01,1846.215,1508.895
2011-03-01,1850.077,1508.932
2011-04-01,1856.528,1517.385
2011-05-01,1860.749,1523.091
2011-06-01,1870.556,1525.486
2011-07-01,1875.393,1529.636
2011-08-01,1879.019,1533.353
2011-09-01,1890.591,1533.862
2011-10-01,1893.409,1534.025
2011-11-01,1900.454,1537.552
2011-12-01,1901.429,1537.185
2012-01-01,1909.673,1533.565
2012-02-01,1910.201,1532.065
2012-03-01,1918.079,1533.155
2012-04-01,1911.371,1530.136
2012-05-01,1914.831,1529.091
2012-06-01,1913.444,1526.855
2012-07-01,1914.745,1524.683
2012-08-01,1915.615,1522.9
2012-09-01,1914.889,1521.645
2012-10-01,1916.262,1521.599
2012-11-01,1913.509,1521.403
2012-12-01,1927.768,1523.506
2013-01-01,1924.183,1523.986
2013-02-01,1927.278,1522.553
2013-03-01,1928.61,1520.951
2013-04-01,1929.086,1521.215
2013-05-01,1928.481,1520.45
2013-06-01,1926.996,1520.958
2013-07-01,1926.86,1520.475
2013-08-01,1934.562,1519.512
2013-09-01,1933.37,1519.308
2013-10-01,1930.994,1519.663
2013-11-01,1932.857,1519.199
2013-12-01,1935.101,1519.001
2014-01-01,1930.354,1520.39
2014-02-01,1931.285,1518.055
2014-03-01,1927.305,1514.052
2014-04-01,1928.71,1513.665
2014-05-01,1928.89,1513.554
2014-06-01,1929.771,1513.18
2014-07-01,1927.658,1511.223
2014-08-01,1924.7,1515.054
2014-09-01,1925.456,1517.132
2014-10-01,1930.612,1517.179
2014-11-01,1930.375,1518.95
2014-12-01,1933.421,1518.7
2015-01-01,1939.874,1522.42
2015-02-01,1943.974,1523.837
2015-03-01,1947.9,1527.83
2015-04-01,1959.716,1535.854
2015-05-01,1960.506,1535.257
2015-06-01,1964.887,1539.155
2015-07-01,1968.996,1541.045
2015-08-01,1971.096,1541.541
2015-09-01,1969.942,1541.842
2015-10-01,1971.087,1542.603
2015-11-01,1967.707,1541.366
2015-12-01,1961.244,1537.706
2016-01-01,1960.264,1538.361
2016-02-01,1957.204,1538.806
2016-03-01,1953.025,1541.714
2016-04-01,1949.978,1540.197
2016-05-01,1949.794,1535.286
2016-06-01,1948.037,1532.019
2016-07-01,1944.147,1531.819
2016-08-01,1944.445,1530.233
2016-09-01,1944.712,1532.193
2016-10-01,1944.884,1534.074
2016-11-01,1948.148,1534.716
2016-12-01,1948.685,1535.331
2017-01-01,1950.158,1535.812
2017-02-01,1949.128,1532.195
2017-03-01,1954.737,1539.87
2017-04-01,1956.359,1542.281
2017-05-01,1956.702,1541.593
2017-06-01,1959.735,1544.77
2017-07-01,1961.922,1547.902
2017-08-01,1960.434,1548.903
2017-09-01,1963.213,1548.557
2017-10-01,1966.988,1550.646
2017-11-01,1968.45,1556.048
2017-12-01,1969.064,1557.169
2018-01-01,1967.186,1554.573
2018-02-01,1965.101,1551.581
2018-03-01,1965.977,1555.175
2018-04-01,1969.202,1556.061
2018-05-01,1966.554,1555.551
2018-06-01,1957.815,1553.876
2018-07-01,1953.744,1549.294
2018-08-01,1949.18,1546.245
2018-09-01,1942.416,1542.885
2018-10-01,1934.845,1538.398
2018-11-01,1921.875,1532.662
2018-12-01,1918.356,1528.931
2019-01-01,1915.894,1524.999
2019-02-01,1916.23,1521.724
2019-03-01,1920.725,1520.281
2019-04-01,1915.384,1519.532
2019-05-01,1907.409,1521.636
2019-06-01,1904.084,1520.729
2019-07-01,1901.913,1516.516
2019-08-01,1895.191,1513.223
2019-09-01,1888.787,1506.046
2019-10-01,1883.856,1499.82
2019-11-01,1881.83,1486.753
2019-12-01,1877.973,1480.701
2020-01-01,1875.143,1475.316
2020-02-01,1871.094,1471.043
2020-03-01,1860.808,1463.333
2020-04-01,1839.602,1439.649
2020-05-01,1848.151,1426.805
2020-06-01,1848.728,1424.183
2020-07-01,1847.931,1419.843
2020-08-01,1851.622,1416.464
2020-09-01,1855.458,1414.136
2020-10-01,1854.585,1409.551
2020-11-01,1854.519,1410.862
2020-12-01,1859.474,1407.53
2021-01-01,1850.369,1408.8
2021-02-01,1853.34,1403.387
