indice_tiempo,gtos_primario_antes_figurativos_2017
2015-01-01,98573.7
2015-02-01,95248.2
2015-03-01,100067.9
2015-04-01,114175.6
2015-05-01,107295.8
2015-06-01,138231.8
2015-07-01,129069.7
2015-08-01,118988.2
2015-09-01,123457.1
2015-10-01,125404.0
2015-11-01,119617.6
2015-12-01,157860.1
2016-01-01,120879.8
2016-02-01,117319.6
2016-03-01,138843.89999999994
2016-04-01,129041.4
2016-05-01,148998.60000000006
2016-06-01,174057.39999999994
2016-07-01,168639.80000000002
2016-08-01,164523.10000000006
2016-09-01,168783.90000000002
2016-10-01,189941.60000000003
2016-11-01,159084.5
2016-12-01,292720.7000000001
2017-01-01,166668.79999999993
2017-02-01,163235.49999999994
2017-03-01,179124.70000000004
2017-04-01,178220.4
2017-05-01,184175.9
2017-06-01,218688.4
2017-07-01,207226.8
2017-08-01,193136.3
2017-09-01,198055.2
2017-10-01,201249.0
2017-11-01,202331.9
2017-12-01,310111.9
2018-01-01,199201.60000000003
2018-02-01,193193.5
2018-03-01,210644.2
2018-04-01,203305.70000000004
2018-05-01,217232.6
2018-06-01,277247.10000000003
2018-07-01,246898.49999999988
2018-08-01,233290.1
2018-09-01,250531.9
2018-10-01,262365.19999999995
2018-11-01,267559.69999999995
2018-12-01,378076.8
2019-01-01,264995.4
2019-02-01,249863.0
2019-03-01,274320.49999999994
2019-04-01,276928.6
2019-05-01,294374.30000000005
2019-06-01,380216.5999999999
2019-07-01,371573.8
2019-08-01,332677.0000000001
2019-09-01,357060.1000000001
2019-10-01,346170.2
2019-11-01,375300.00000000006
2019-12-01,508715.6
2020-01-01,398990.8
2020-02-01,378411.9
2020-03-01,466246.1
2020-04-01,545070.3
2020-05-01,579407.54
