indice_tiempo,indice_salarios_registrado_sector_privado,indice_salarios_no_registrado_sector_privado,indice_salarios_registrado_sector_publico,ipc_2016_nivel_general
2015-10-01,73.97,,75.24,
2015-11-01,75.95,,76.28,
2015-12-01,77.36,,77.18,
2016-01-01,78.93,,77.46,
2016-02-01,80.04,,78.36,
2016-03-01,80.8,,83.8,
2016-04-01,85.92,,84.26,85.5254
2016-05-01,88.74,,87.11,89.1118
2016-06-01,90.15,,89.28,91.8528
2016-07-01,93.35,,94.66,93.7328
2016-08-01,95.05,,98.73,93.9221
2016-09-01,96.63,,99.46,95.0014
2016-10-01,100.0,100.0,100.0,97.2428
2016-11-01,101.8,100.73,101.22,98.8166
2016-12-01,102.89,103.2,102.37,100.0
2017-01-01,106.34,102.0,102.68,101.31299999999999
2017-02-01,107.69,104.94,103.08,103.8085
2017-03-01,109.26,110.08,107.24,106.2627
2017-04-01,112.93,114.61,110.81,109.0613
2017-05-01,115.18,115.79,112.28,110.4607
2017-06-01,117.23,116.24,115.3,111.9943
2017-07-01,122.8,120.74,118.49,113.9199
2017-08-01,124.55,126.06,121.54,115.6031
2017-09-01,126.0,127.7,123.89,117.9656
2017-10-01,128.23,128.5,126.03,119.4985
2017-11-01,130.04,131.95,127.32,120.8941
2017-12-01,131.01,135.71,127.94,125.0392
2018-01-01,133.25,136.57,128.45,127.0147
2018-02-01,134.31,138.19,129.32,130.2913
2018-03-01,136.23,140.7,132.97,133.5028
2018-04-01,141.01,144.0,135.01,136.938
2018-05-01,144.47,142.73,137.16,139.58
2018-06-01,146.47,141.02,138.97,145.0582
2018-07-01,149.94,145.09,143.01,149.1178
2018-08-01,154.2,148.81,147.26,155.1747
2018-09-01,157.82,154.02,152.41,165.4903
2018-10-01,163.86,156.63,159.53,173.8549
2018-11-01,168.06,164.93,162.69,178.877
2018-12-01,170.85,172.61,166.66,183.9381
2019-01-01,176.91,177.16,170.98,189.1236
2019-02-01,181.76,181.72,175.37,196.3597
2019-03-01,188.26,186.59,184.99,205.7679
2019-04-01,193.47,188.85,188.65,212.4469
2019-05-01,201.66,188.44,193.23,218.8793
2019-06-01,206.99,188.78,197.23,224.6105
2019-07-01,215.86,195.49,209.52,229.4286
2019-08-01,221.87,200.52,213.21,238.3069
2019-09-01,227.72,203.25,220.8,252.1482
2019-10-01,236.31,207.5,227.45,260.2101
2019-11-01,242.85,212.21,231.39,270.8019
2019-12-01,246.54,223.54,238.13,281.1775
2020-01-01,267.6,232.76,244.59,286.4913
2020-02-01,279.97,240.22,251.57,291.737
2020-03-01,286.4,248.53,262.08,302.2274
2020-04-01,285.74,250.23,263.54,306.4483
2020-05-01,285.06,248.98,264.92,311.0922
2020-06-01,285.44,252.74,267.19,317.4661
2020-07-01,289.2,263.5,270.1,322.6791
2020-08-01,295.1,273.3,272.2,331.6957
2020-09-01,,,,340.902
2020-10-01,,,,353.0444
