indice_tiempo,superavit_primario_2017
2015-01-01,-4814.6999999999825
2015-02-01,-15131.0
2015-03-01,-22183.699999999986
2015-04-01,-18591.800000000032
2015-05-01,-8180.0
2015-06-01,-21772.800000000017
2015-07-01,-8831.300000000017
2015-08-01,-17842.5
2015-09-01,-20817.300000000017
2015-10-01,-21508.199999999983
2015-11-01,-21943.600000000006
2015-12-01,-42977.70000000004
2016-01-01,740.6999999999823
2016-02-01,-16642.399999999994
2016-03-01,-30012.099999999977
2016-04-01,-10893.49999999997
2016-05-01,-11974.200000000012
2016-06-01,-44008.0
2016-07-01,-24366.30000000001
2016-08-01,-35415.50000000003
2016-09-01,-37017.29999999999
2016-10-01,-61868.30000000005
2016-11-01,-13299.700000000012
2016-12-01,-58768.90000000014
2017-01-01,3587.200000000012
2017-02-01,-26746.79999999996
2017-03-01,-18184.200000000008
2017-04-01,-18663.599999999948
2017-05-01,-27239.399999999965
2017-06-01,-57038.79999999999
2017-07-01,-22089.600000000035
2017-08-01,-24650.599999999977
2017-09-01,-31353.100000000013
2017-10-01,-32494.79999999996
2017-11-01,-29661.50000000003
2017-12-01,-119607.09999999998
2018-01-01,3928.5999999999767
2018-02-01,-20227.600000000006
2018-03-01,-14701.900000000025
2018-04-01,-10342.400000000025
2018-05-01,-7817.7999999999865
2018-06-01,-56663.60000000004
2018-07-01,-14279.59999999992
2018-08-01,-10356.399999999909
2018-09-01,-22854.299999999992
2018-10-01,-16585.899999999965
2018-11-01,-33770.19999999995
2018-12-01,-135316.2
2019-01-01,16657.600000000035
2019-02-01,6726.4000000000815
2019-03-01,-13036.999999999884
2019-04-01,498.5
2019-05-01,25973.79999999993
2019-06-01,-6598.199999999836
2019-07-01,4292.800000000105
2019-08-01,13746.099999999858
