,indice_tiempo,tipo_cambio_bna_vendedor
0,2014-11-03,8.49
1,2014-11-04,8.51
2,2014-11-05,8.51
3,2014-11-06,8.51
4,2014-11-07,8.51
5,2014-11-08,8.51
6,2014-11-09,8.51
7,2014-11-10,8.51
8,2014-11-11,8.51
9,2014-11-12,8.51
10,2014-11-13,8.51
11,2014-11-14,8.51
12,2014-11-15,8.51
13,2014-11-16,8.51
14,2014-11-17,8.51
15,2014-11-18,8.51
16,2014-11-19,8.51
17,2014-11-20,8.52
18,2014-11-21,8.52
19,2014-11-22,8.52
20,2014-11-23,8.52
21,2014-11-24,8.52
22,2014-11-25,8.52
23,2014-11-26,8.52
24,2014-11-27,8.52
25,2014-11-28,8.53
26,2014-11-29,8.53
27,2014-11-30,8.53
28,2014-12-01,8.53
29,2014-12-02,8.53
30,2014-12-03,8.55
31,2014-12-04,8.55
32,2014-12-05,8.55
33,2014-12-06,8.55
34,2014-12-07,8.55
35,2014-12-08,8.56
36,2014-12-09,8.56
37,2014-12-10,8.56
38,2014-12-11,8.56
39,2014-12-12,8.56
40,2014-12-13,8.56
41,2014-12-14,8.56
42,2014-12-15,8.56
43,2014-12-16,8.56
44,2014-12-17,8.56
45,2014-12-18,8.56
46,2014-12-19,8.56
47,2014-12-20,8.56
48,2014-12-21,8.56
49,2014-12-22,8.56
50,2014-12-23,8.56
51,2014-12-24,8.56
52,2014-12-25,8.56
53,2014-12-26,8.56
54,2014-12-27,8.56
55,2014-12-28,8.56
56,2014-12-29,8.56
57,2014-12-30,8.56
58,2014-12-31,8.56
59,2015-01-01,8.56
60,2015-01-02,8.56
61,2015-01-03,8.56
62,2015-01-04,8.56
63,2015-01-05,8.56
64,2015-01-06,8.56
65,2015-01-07,8.57
66,2015-01-08,8.59
67,2015-01-09,8.6
68,2015-01-10,8.6
69,2015-01-11,8.6
70,2015-01-12,8.6
71,2015-01-13,8.6
72,2015-01-14,8.6
73,2015-01-15,8.6
74,2015-01-16,8.6
75,2015-01-17,8.6
76,2015-01-18,8.6
77,2015-01-19,8.6
78,2015-01-20,8.61
79,2015-01-21,8.61
80,2015-01-22,8.62
81,2015-01-23,8.63
82,2015-01-24,8.63
83,2015-01-25,8.63
84,2015-01-26,8.63
85,2015-01-27,8.63
86,2015-01-28,8.64
87,2015-01-29,8.64
88,2015-01-30,8.65
89,2015-01-31,8.65
90,2015-02-01,8.65
91,2015-02-02,8.65
92,2015-02-03,8.66
93,2015-02-04,8.66
94,2015-02-05,8.66
95,2015-02-06,8.66
96,2015-02-07,8.66
97,2015-02-08,8.66
98,2015-02-09,8.66
99,2015-02-10,8.66
100,2015-02-11,8.675
101,2015-02-12,8.685
102,2015-02-13,8.685
103,2015-02-14,8.685
104,2015-02-15,8.685
105,2015-02-16,8.685
106,2015-02-17,8.685
107,2015-02-18,8.685
108,2015-02-19,8.695
109,2015-02-20,8.7
110,2015-02-21,8.7
111,2015-02-22,8.7
112,2015-02-23,8.705
113,2015-02-24,8.715
114,2015-02-25,8.715
115,2015-02-26,8.725
116,2015-02-27,8.725
117,2015-02-28,8.725
118,2015-03-01,8.725
119,2015-03-02,8.73
120,2015-03-03,8.735
121,2015-03-04,8.745
122,2015-03-05,8.75
123,2015-03-06,8.755
124,2015-03-07,8.755
125,2015-03-08,8.755
126,2015-03-09,8.755
127,2015-03-10,8.77
128,2015-03-11,8.775
129,2015-03-12,8.775
130,2015-03-13,8.785
131,2015-03-14,8.785
132,2015-03-15,8.785
133,2015-03-16,8.785
134,2015-03-17,8.785
135,2015-03-18,8.785
136,2015-03-19,8.795
137,2015-03-20,8.795
138,2015-03-21,8.795
139,2015-03-22,8.795
140,2015-03-23,8.8
141,2015-03-24,8.8
142,2015-03-25,8.8
143,2015-03-26,8.81
144,2015-03-27,8.81
145,2015-03-28,8.81
146,2015-03-29,8.81
147,2015-03-30,8.815
148,2015-03-31,8.82
149,2015-04-01,8.82
150,2015-04-02,8.83
151,2015-04-03,8.83
152,2015-04-04,8.83
153,2015-04-05,8.83
154,2015-04-06,8.835
155,2015-04-07,8.835
156,2015-04-08,8.84
157,2015-04-09,8.84
158,2015-04-10,8.845
159,2015-04-11,8.845
160,2015-04-12,8.845
161,2015-04-13,8.855
162,2015-04-14,8.86
163,2015-04-15,8.86
164,2015-04-16,8.87
165,2015-04-17,8.87
166,2015-04-18,8.87
167,2015-04-19,8.87
168,2015-04-20,8.87
169,2015-04-21,8.875
170,2015-04-22,8.875
171,2015-04-23,8.885
172,2015-04-24,8.885
173,2015-04-25,8.885
174,2015-04-26,8.885
175,2015-04-27,8.895
176,2015-04-28,8.895
177,2015-04-29,8.895
178,2015-04-30,8.905
179,2015-05-01,8.91
180,2015-05-02,8.91
181,2015-05-03,8.91
182,2015-05-04,8.91
183,2015-05-05,8.915
184,2015-05-06,8.92
185,2015-05-07,8.925
186,2015-05-08,8.925
187,2015-05-09,8.925
188,2015-05-10,8.925
189,2015-05-11,8.93
190,2015-05-12,8.935
191,2015-05-13,8.94
192,2015-05-14,8.945
193,2015-05-15,8.945
194,2015-05-16,8.945
195,2015-05-17,8.945
196,2015-05-18,8.945
197,2015-05-19,8.955
198,2015-05-20,8.96
199,2015-05-21,8.965
200,2015-05-22,8.97
201,2015-05-23,8.97
202,2015-05-24,8.97
203,2015-05-25,8.975
204,2015-05-26,8.975
205,2015-05-27,8.98
206,2015-05-28,8.985
207,2015-05-29,8.99
208,2015-05-30,8.99
209,2015-05-31,8.99
210,2015-06-01,8.995
211,2015-06-02,8.995
212,2015-06-03,9.005
213,2015-06-04,9.005
214,2015-06-05,9.015
215,2015-06-06,9.015
216,2015-06-07,9.015
217,2015-06-08,9.015
218,2015-06-09,9.025
219,2015-06-10,9.025
220,2015-06-11,9.03
221,2015-06-12,9.035
222,2015-06-13,9.035
223,2015-06-14,9.035
224,2015-06-15,9.04
225,2015-06-16,9.045
226,2015-06-17,9.05
227,2015-06-18,9.05
228,2015-06-19,9.055
229,2015-06-20,9.055
230,2015-06-21,9.055
231,2015-06-22,9.055
232,2015-06-23,9.065
233,2015-06-24,9.065
234,2015-06-25,9.075
235,2015-06-26,9.075
236,2015-06-27,9.075
237,2015-06-28,9.075
238,2015-06-29,9.08
239,2015-06-30,9.085
240,2015-07-01,9.09
241,2015-07-02,9.095
242,2015-07-03,9.1
243,2015-07-04,9.1
244,2015-07-05,9.1
245,2015-07-06,9.11
246,2015-07-07,9.11
247,2015-07-08,9.115
248,2015-07-09,9.12
249,2015-07-10,9.12
250,2015-07-11,9.12
251,2015-07-12,9.12
252,2015-07-13,9.13
253,2015-07-14,9.13
254,2015-07-15,9.14
255,2015-07-16,9.145
256,2015-07-17,9.145
257,2015-07-18,9.145
258,2015-07-19,9.145
259,2015-07-20,9.15
260,2015-07-21,9.15
261,2015-07-22,9.15
262,2015-07-23,9.17
263,2015-07-24,9.175
264,2015-07-25,9.175
265,2015-07-26,9.175
266,2015-07-27,9.175
267,2015-07-28,9.175
268,2015-07-29,9.185
269,2015-07-30,9.185
270,2015-07-31,9.195
271,2015-08-01,9.195
272,2015-08-02,9.195
273,2015-08-03,9.195
274,2015-08-04,9.2
275,2015-08-05,9.21
276,2015-08-06,9.21
277,2015-08-07,9.215
278,2015-08-08,9.215
279,2015-08-09,9.215
280,2015-08-10,9.22
281,2015-08-11,9.225
282,2015-08-12,9.23
283,2015-08-13,9.235
284,2015-08-14,9.245
285,2015-08-15,9.245
286,2015-08-16,9.245
287,2015-08-17,9.245
288,2015-08-18,9.25
289,2015-08-19,9.255
290,2015-08-20,9.26
291,2015-08-21,9.265
292,2015-08-22,9.265
293,2015-08-23,9.265
294,2015-08-24,9.27
295,2015-08-25,9.275
296,2015-08-26,9.28
297,2015-08-27,9.29
298,2015-08-28,9.295
299,2015-08-29,9.295
300,2015-08-30,9.295
301,2015-08-31,9.3
302,2015-09-01,9.305
303,2015-09-02,9.305
304,2015-09-03,9.32
305,2015-09-04,9.33
306,2015-09-05,9.33
